Feature,Global,Middle,Segment,Average
rms,0.15392204835314702,0.16135756723814448,0.14996435216710738,0.15508132258613294
mfcc_1,0.12902171193260908,0.13849201974616146,0.13211554664009797,0.13320975943962285
mfcc_2,0.08080447246001018,0.07976680485240041,0.0908118742394674,0.083794383850626
spectral_centroid,0.07500119084900958,0.0713054628101098,0.07204878144163487,0.07278514503358476
mfcc_6,0.0625167854273652,0.05775237978400785,0.05934448491819335,0.059871216709855464
mfcc_3,0.05036489996694656,0.05443820570842312,0.05992236137469758,0.05490848901668909
mfcc_4,0.05419550145790796,0.04797914709847491,0.054242705608942905,0.05213911805510859
zcr,0.046503284349847705,0.046837302041711514,0.04609907279566953,0.046479886395742916
mfcc_11,0.04163163011558362,0.04729144874446216,0.0475139501973219,0.045479009685789225
mfcc_8,0.04675084084665162,0.041358939896419984,0.04414913082159271,0.044086303854888105
mfcc_13,0.04539574582635723,0.043537956812184406,0.04075722586538828,0.04323030950130998
mfcc_12,0.04517950069657392,0.04186420556150668,0.040476049937631556,0.04250658539857072
mfcc_9,0.04142826298873045,0.04244645288868674,0.040211409330527415,0.041362041735981535
mfcc_7,0.03731330996446916,0.03306650135556425,0.0362931039114691,0.03555763841050084
mfcc_10,0.03363685886537131,0.03454472180519651,0.03129876891488808,0.0331601165284853
tempo,0.028708394480772028,0.03064801255823905,0.02535103584344469,0.028235814294151923
mfcc_5,0.027625561418647412,0.027312871098306636,0.029400145991925294,0.02811285950295978
