mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,tempo,spectral_centroid,zcr,rms,label
-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,123.046875,1784.416545970319,0.08306639113293343,0.130192,blues
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.2378328,67.99958881578948,1529.8713140945188,0.056044256724071206,0.095891684,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741682,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.7857633,-8.899733,161.4990234375,1552.6377863181908,0.07630074799245357,0.17549369,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761884,63.02400914634146,1070.1100585189854,0.03330894446594427,0.14113921,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038773,-13.085074,-2.8098493,-6.935621,135.99917763157896,1835.5070084014953,0.1015001421004257,0.0915404,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.94018424,-11.773799,-2.426076,-9.342486,69.83741554054055,1831.9900685948742,0.09403986975135449,0.10343772,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.2771159,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,71.77734375,1459.0353761872718,0.07302790308146284,0.1416879,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956977,-3.5483484,92.28515625,1451.8494584581754,0.06143500266060371,0.13174523,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739911,83.35433467741936,1719.2739373344168,0.06402757957623839,0.14236063,blues
-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.0441957,3.786368,0.22368738,80.74951171875,1817.529546414671,0.0792153184258901,0.08132098,blues
