mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,tempo,spectral_centroid,zcr,rms,label
-105.92202,121.284004,-16.622934,40.455208,-9.402882,18.805649,-13.830054,15.4465885,-14.246866,11.640397,-8.396602,10.637302,-3.7918365,123.046875,1805.6923647226338,0.07914011101973684,0.13732989,blues
-216.66534,129.55844,8.904987,36.60868,0.2952553,26.282711,-12.576738,23.66397,-12.648604,15.296842,-8.162506,7.6033325,-3.3345127,67.99958881578948,1514.9907851491153,0.05216068232391641,0.09077071,blues
-93.89187,145.22577,-32.659283,34.498665,-16.354967,26.237967,-14.700425,11.307415,-13.120131,9.813642,-14.250481,5.094567,-8.016589,151.99908088235293,1519.7977616661283,0.07506303816756967,0.17569366,blues
-195.11052,148.86514,5.308142,25.937918,-0.48283637,15.786404,-7.5866027,9.711128,-1.5055698,9.327952,-4.132296,6.53826,-3.1688638,63.02400914634146,1135.3283750119697,0.03574128047600619,0.13739255,blues
-157.7962,127.590004,-40.48621,24.723818,-36.14971,13.502692,-25.537188,3.8394897,-13.78388,3.7788937,-15.12169,-0.1893858,-8.830156,135.99917763157896,1852.56624485637,0.1006343121130031,0.09455173,blues
-174.57375,108.24785,-16.689966,35.606438,-21.08673,15.518661,-21.581156,5.8058414,-9.8639555,-0.28135923,-12.506124,-2.6974182,-9.428709,69.83741554054055,2014.3758124141682,0.10330474192143962,0.10929559,blues
-195.11612,134.62665,-33.400208,31.695747,12.887843,-2.907107,-20.831896,0.4415354,-6.7443857,-5.1432166,-8.759654,-3.974482,-5.4244976,71.77734375,1423.6213440170027,0.0695574025251548,0.1361935,blues
-177.77913,146.61913,-27.723255,38.473698,9.043615,9.000406,-19.108791,5.4453616,-12.693795,-6.244303,-8.16277,-7.20136,-4.905046,92.28515625,1299.5194328179102,0.054852276025541796,0.1492283,blues
-119.869484,122.40325,-15.921658,48.33959,-8.893722,20.171286,-18.562868,22.501472,-12.346708,20.703941,-7.3587856,6.2721105,-12.8658495,83.35433467741936,1716.0745981485657,0.0639618203366873,0.14416638,blues
-213.72379,115.07844,-13.325991,41.730595,-19.482258,11.457361,-8.069478,8.527608,-13.843729,4.0024524,-5.9004626,2.4665449,1.880246,129.19921875,1804.8081182029975,0.08068809863583591,0.0810081,blues
-163.13625,140.22769,-17.10846,29.946482,-17.221642,5.7940907,-14.992014,5.722435,-6.34081,-0.3332732,-2.201552,1.7759542,-3.74845,80.74951171875,1383.4033708541012,0.057293682275541796,0.16165851,blues
-284.4246,125.990135,4.8377843,31.840775,-1.5042017,12.989818,-4.46896,9.058851,-0.29757914,5.861642,-4.8713937,-3.5335164,-6.111205,161.4990234375,1353.0122503618188,0.04750462582236842,0.06711947,blues
