,precision,recall,f1-score,support
blues,0.8440677966101695,0.83,0.8369747899159664,300.0
classical,0.8878504672897196,0.9563758389261745,0.9208400646203554,298.0
country,0.726643598615917,0.7070707070707071,0.7167235494880546,297.0
disco,0.7508417508417509,0.745819397993311,0.7483221476510067,299.0
hiphop,0.8,0.6845637583892618,0.7377938517179023,298.0
jazz,0.7785467128027682,0.7575757575757576,0.7679180887372014,297.0
metal,0.811377245508982,0.9033333333333333,0.8548895899053628,300.0
pop,0.8128834355828221,0.8833333333333333,0.8466453674121406,300.0
reggae,0.7544910179640718,0.84,0.7949526813880127,300.0
rock,0.7620967741935484,0.6321070234113713,0.6910420475319927,299.0
accuracy,0.7941767068273092,0.7941767068273092,0.7941767068273092,0.7941767068273092
macro avg,0.7928798799409749,0.794017915003325,0.7916102178367996,2988.0
weighted avg,0.7929168103845564,0.7941767068273092,0.7917068596277991,2988.0
