,precision,recall,f1-score,support
blues,0.8788927335640139,0.8466666666666667,0.8624787775891342,300.0
classical,0.8938906752411575,0.9328859060402684,0.9129720853858785,298.0
country,0.740506329113924,0.7878787878787878,0.763458401305057,297.0
disco,0.750788643533123,0.7959866220735786,0.7727272727272727,299.0
hiphop,0.7835051546391752,0.7651006711409396,0.7741935483870968,298.0
jazz,0.8135593220338984,0.8080808080808081,0.8108108108108109,297.0
metal,0.9256756756756757,0.9133333333333333,0.9194630872483222,300.0
pop,0.890728476821192,0.8966666666666666,0.893687707641196,300.0
reggae,0.822742474916388,0.82,0.8213689482470785,300.0
rock,0.7647058823529411,0.6956521739130435,0.7285464098073555,299.0
accuracy,0.8263052208835341,0.8263052208835341,0.8263052208835341,0.8263052208835341
macro avg,0.8264995367891489,0.8262251635794092,0.8259707049149203,2988.0
weighted avg,0.8266285566359962,0.8263052208835341,0.8260755361975678,2988.0
