,precision,recall,f1-score,support
blues,0.8281786941580757,0.8033333333333333,0.8155668358714044,300.0
classical,0.889967637540453,0.9228187919463087,0.9060955518945635,298.0
country,0.6818181818181818,0.7070707070707071,0.6942148760330579,297.0
disco,0.734006734006734,0.7290969899665551,0.7315436241610739,299.0
hiphop,0.7900355871886121,0.7449664429530202,0.7668393782383419,298.0
jazz,0.7308970099667774,0.7407407407407407,0.7357859531772575,297.0
metal,0.8613861386138614,0.87,0.8656716417910447,300.0
pop,0.8673469387755102,0.85,0.8585858585858586,300.0
reggae,0.7770897832817337,0.8366666666666667,0.8057784911717496,300.0
rock,0.6797153024911032,0.6387959866220736,0.6586206896551724,299.0
accuracy,0.784471218206158,0.784471218206158,0.784471218206158,0.784471218206158
macro avg,0.7840442007841042,0.7843489659299406,0.7838702900579524,2988.0
weighted avg,0.784176950565931,0.784471218206158,0.7839976015770228,2988.0
