Preprocessing,Feature_Set,Model,Mean_Accuracy,Std
Segment,All,SVM,0.8263076811033988,0.0053549427118290685
Segment,All,RandomForest,0.7941726469583144,0.01495825063234799
Segment,All,XGBoost,0.7844708492294248,0.005937542836322739
Segment,Top10,RandomForest,0.7392850540327054,0.008656424094848512
Segment,Top10,SVM,0.7356078049108417,0.006490280450230087
Segment,All,KNN,0.7195335652622085,0.02109221591042021
Segment,Top10,XGBoost,0.71452188478625,0.009592071429632898
Segment,Top8,RandomForest,0.7091606303535516,0.013563049439159884
Segment,Top8,SVM,0.7048240085600802,0.010323497117926043
Segment,Top8,XGBoost,0.6900965249883756,0.008381657535756227
Segment,Top10,KNN,0.6680038990941328,0.017034207600061833
Global,All,SVM,0.6526432160804021,0.031815369269815215
Segment,Top8,KNN,0.6489257883621005,0.007365422850648644
Middle,All,SVM,0.6406180904522614,0.017338501106371373
Global,All,RandomForest,0.6335829145728643,0.03486502850813999
Segment,Top5,RandomForest,0.6281776776860893,0.018157795813487435
Global,All,XGBoost,0.6175879396984925,0.026263178628123766
Middle,All,RandomForest,0.6175778894472361,0.03284498609049897
Global,Top10,SVM,0.6136231155778894,0.012094490902228448
Segment,Top5,XGBoost,0.6084329114916837,0.00856519036302894
Middle,Top10,SVM,0.6066030150753768,0.018660608988454938
Segment,Top5,SVM,0.6024010800938919,0.011526488110169908
Segment,All,GMM,0.6000722676929799,0.013567976189854869
Global,Top10,RandomForest,0.5885376884422111,0.027389075569817563
Middle,Top10,RandomForest,0.5845778894472361,0.024185404995630246
Middle,All,XGBoost,0.5825477386934674,0.030605022584352087
Middle,All,KNN,0.5816030150753769,0.036171384844775396
Global,Top8,SVM,0.576572864321608,0.014779659071324627
Global,Top10,XGBoost,0.5765628140703518,0.02678165395303073
Segment,Top5,KNN,0.5736256533503639,0.0069335795626366
Middle,Top8,SVM,0.5705628140703517,0.016432004056234517
Global,All,KNN,0.5655829145728644,0.030640603694819045
Middle,Top10,XGBoost,0.5645527638190955,0.015483694792397903
Global,Top8,RandomForest,0.5605326633165828,0.022785414673434336
Middle,Top10,KNN,0.5595778894472361,0.01529144490113555
Global,Top8,XGBoost,0.5564824120603015,0.0471338970637679
Middle,Top8,RandomForest,0.5545527638190955,0.022378562974553116
Global,All,GMM,0.554502512562814,0.03755980189936076
Segment,Top10,GMM,0.5468585962140692,0.01319699937651148
Global,Top5,SVM,0.5385226130653267,0.016379207163731764
Global,Top5,RandomForest,0.5385075376884422,0.0222156001625788
Middle,Top8,KNN,0.5355678391959799,0.0362678937514816
Middle,All,GMM,0.5354924623115578,0.02601246755832706
Middle,Top5,SVM,0.533537688442211,0.01180284665715834
Segment,Top8,GMM,0.5327955272460406,0.007496475649788659
Global,Top8,KNN,0.5325778894472362,0.027875335286148908
Middle,Top8,XGBoost,0.5314874371859297,0.031146527237163688
Global,Top10,KNN,0.5285829145728643,0.035042578004121215
Global,Top10,GMM,0.5134723618090453,0.02421300037452379
Middle,Top5,RandomForest,0.5114874371859297,0.02212698909414851
Global,Top8,GMM,0.505497487437186,0.026665337542527246
Middle,Top10,GMM,0.5034824120603014,0.02499479807499611
Middle,Top8,GMM,0.5024572864321608,0.024977019816243864
Segment,Top5,GMM,0.49931877895609594,0.022621235705457696
Global,Top5,KNN,0.49752763819095475,0.02875171902575015
Global,Top5,XGBoost,0.48943718592964824,0.03297799942001212
Middle,Top5,KNN,0.48846231155778896,0.02882647187343051
Middle,Top5,XGBoost,0.4884472361809046,0.03143783976751984
Segment,Top3,RandomForest,0.48728424732357445,0.011819125236674877
Segment,Top3,SVM,0.4846058609659221,0.009044345795078406
Global,Top5,GMM,0.47446733668341706,0.014368770093545282
Segment,Top3,KNN,0.4675349994117747,0.005068942178500701
Segment,Top3,XGBoost,0.465202825722817,0.016675961728438
Middle,Top5,GMM,0.4604773869346734,0.023135107546363134
Middle,Top3,SVM,0.46045226130653266,0.0333432592142234
Global,Top3,SVM,0.4574924623115578,0.03405102919261081
Middle,Top3,RandomForest,0.4514522613065327,0.030723177546348974
Segment,Top3,GMM,0.4451124070743909,0.0231084001701011
Global,Top3,RandomForest,0.4414170854271357,0.014248066493495212
Global,Top3,GMM,0.4274472361809045,0.027256202657718175
Middle,Top3,GMM,0.42743718592964824,0.02106559994452334
Middle,Top3,XGBoost,0.42242713567839196,0.051276628142082184
Global,Top3,XGBoost,0.420391959798995,0.02161242563888687
Global,Top3,KNN,0.4203819095477387,0.03660642915925453
Middle,Top3,KNN,0.41741206030150757,0.016760379785291508
